Waktu,Username,Pesan,Video ID,Video Title,Sentiment
0,@AdiSlamet-e5g,mantep,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Positive
1140,@ANANDAYOLANDITASABRIANSYAH,Ananda Yolandita_DINKOPUM KAB MALANG,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
1186,@avianti-et9nc,"Rusma Avianti, S.Pd dari SMA Negeri 1 Dampit Kabupaten Malang....Hadir",nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
1196,@rimasiaf8608,tepuk pramuka..,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Positive
1204,@talitaazzahra4004,malang,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
1206,@CakKun-v5m,ok baik,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Neutral - Discussion
1271,@RohmatRahayu-n6i,@Rohmatrahayu@303g,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
1325,@john_suhendra,Selamat hari Pramuka ,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Positive
1335,@dwifitriprastyo9767,teko,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Neutral - Discussion
1361,@idasulami8765,Admin Share Link Pendaftarannya ya trims,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Negative
1376,@HamzahHamzah-i1n,hamzah pengawas smk cabdin bangkalan,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
1403,@Fatzz_RF_D8,dan,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Neutral - Discussion
1421,@LilisPurwantiningsri-im5tq,Lilis Pengawas SMK Cabdindik Bangkalan Jawa Timur,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
1422,@dinnaandriyandhani5712,Dinna Andriyandhani_Pengawas SMK_Cabdin Bangkalan,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
1428,@Fatzz_RF_D8,selamaat paagi,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
1441,@puskesmaskalipare5733,Tangkis_Puskesmas Kalipare,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
1464,@nurulhidayati4404,"NURUL HIDAYATI, S.Psi. PENGAWAS CABDIN BANGKALANA",nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
1479,@Fatzz_RF_D8,luar biasa,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Positive
1520,@bejansubarkah1218,siap.....................mtsn 1 trenggalek,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
1570,@omwawan77,slm pramuka...,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
1582,@Fatzz_RF_D8,salam pramuka,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
1591,@edhysrenkleggy1697,Hadeer,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
1637,@john_suhendra,mampir,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
1653,@tonsoedarw9731,hadi,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
1661,@Fatzz_RF_D8,persami = perkemahan sabtu minggu,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Neutral - Discussion
1696,@dantinasution1109,"alhamdullilah sy Alumni Jamnas 91 dan sekarang bekerja di Subbag.Protokol...Pramuka merupakan acuan sy sampai di titik ini sebagai ASN dilingkungan Pemkab.Kukar,Pramuka byk peran dlm hidup saya",nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Positive
1740,@sukmanining2241,saya hanya sampai di tingkat Bantara,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Neutral - Discussion
1769,@Ponco0412,BAPPERIDAJOMBANGHADIR,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
1780,@sukmanining2241,di kegiatan pramuka paling seneng dengan sandi,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Neutral - Discussion
1820,@Muhisnaeni-sf3ee,Salam sehat selalu,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
1866,@eryamanda1649,"Salam Pramuka , kenapa belum mulai ya?",nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Negative
1882,@atikasoekarno6280,DASA DHARMA PRAMUKA,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
1932,@wanabaktijatim1891,pramuka jiwaku,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
1948,@Fatzz_RF_D8,cepat beradaptasai terhadap perubahan lingkungan,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Neutral - Discussion
1974,@ngatinemngatinem-d2o,salam Pramuka,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
2013,@john_suhendra,salam Pramuka,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
2050,@yuwanahadi1730,YUWANA,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
2077,@SetiyoSudarwoko,skb kab malang,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
2166,@ekopudjiono8343,Materinya menarik mengingatkan kita pada masa masa itu,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Positive
2256,@sriutami-j5e,Sri Utami MIN 1 Sidoarjo,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
2346,@meiramauladsihwidyawati5342,bagian pemerintahan setda kulon progo ..jadirr,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
2376,@ngatinemngatinem-d2o,Pertikara Saka Bhayangkara Sibolangit 92,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
2386,@yudhimfn3362,"YUDI WAHYUDI, KAB. KUTI KARTANEGARA",nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
2452,@ElikSetyowati-r4g7n,Elik setyowati,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
2456,@so_feel_u,SALAM PRAMUKA,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
2479,@donnytata4518,up,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
2489,@so_feel_u,...PRA ...MU ...KA,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
2583,@isnainyIs-c2e,Isnainy F. PS Cabdin Bangkalan,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
2599,@john_suhendra,sukses selalu webinar ASN belajar seri 28 ,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Positive
2646,@john_suhendra,pak kurniawan,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
2711,@TPQAl-Muttaqin-z2h,Alhamdulillah Mengikuti,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
2742,@SUBURGO,SD Negeri 1 Dampit Kab. Malang,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
2809,@uptlabkeswanmalang,"Purwatiningsih, UPT Lab Keswan Malang Disnak Prov. Jatim",nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
2851,@so_feel_u,Madiun,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
2915,@nuryati5653,hari,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
2939,@mustaufawirratakusumahs.so2935,"Mustaufa Wijaya Wirrata kusumah, kecamatan Cibitung, hadir",nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
3195,@trisukarno507,indra kurniawan,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
3195,@kelurahanpangonganganmadiun,SALAM PRAMUKA,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
3227,@motivationquotes915,link dafdir nya?,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Negative
3232,@Fatzz_RF_D8,mater belum ada di GDrive-nya,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Negative
3249,@dantinasution1109,salam alumni Jambore 1991 cibubur Jakarta,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
3253,@muhammadsuudin8033,terima kasih bpsdm lanjutkan,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Positive
3274,@muhammadsuudin8033,mantabbbbb,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Positive
3311,@ervanafrianto5219,praja muda karana,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
3327,@muhammadsuudin8033,ayo......semangatttt,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Positive
3338,@nurhaenidewi134,hHadir,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
3344,@lindatriawaty2155,Kereeeeennnn,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Positive
3412,@musrimusri6491,musri,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
3420,@irwanyulianto-d9c,irwan,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
3450,@edysyahputra-g7h,Edi Syahputra BBWSS II MEDAN mengikuti,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
3471,@metaayokiutami,Kepulauan Meranti,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
3528,@partise9569,"PARTI, SE Pemkab Ngawi",nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
3530,@robiantorobianto6377,Robianto,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
3531,@LukmanES22,eror ya webnya min ?,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Negative
3565,@penunjangRSUDcaruban,"Salam pramuka Kak Dewi, saya Dyah ASN bertugas di RSUD Caruban, ijin bertanya , bagaimana korelasi dari suci dalam perkataan dan perbuatan dengan tugas kita sebagai ASN, terimakasih",nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Neutral - Discussion
3593,@suhartonosuhartono6799,SUHARTONO - SD NEGERI 2 TUMPANG - KABUPATEN MALANG,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
3691,@izzatullaila4253,IZZATUL LAILA PENGAWAS SEKOLAH CABDIN WILAYAH KAB JOMBANG,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
3692,@hestymaryani2886,"hesti kota jambi hadir,,alhamdulillah jiwa pramuka masih tertanam sampai saat ini@0tw47yearsold",nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
3820,@harismulia8056,dlh kab .malang,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
3832,@AriniYunandaSari,"Arini Yunanda Sari, A.Md",nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
3840,@muhammadsuudin8033,sabarrrr,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Neutral - Discussion
3850,@haricahyokuncoro,Hari Cahyo Kuncoro - Disperindag. Jatim.,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
3867,@sonisuharsono-g6j,@Soni Suharsono-DLH Prov. Jatim - H A D I R,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
3878,@PonidiAjah,hadiri DPRK plh,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
3886,@metaayokiutami,Kepulauan Meranti Riau,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
3921,@anissaraswati5817,anis sarasawati rsud jombang,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
3940,@andalusiawahyudi9507,Tendik SMPN 2 SIngosari Kab Malang ,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
3992,@muhammadsuudin8033,semangat sulteng,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Positive
4014,@estinapurmikaelacantik77,@estinapurwaningtyasmikhaela hadir Estina Purwaningtyas - Pkm Tanggunggunung - Tulungagung,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
4031,@buasanbpbd302,Kota Pasuruan,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
4064,@aryonoyono9472,"Bagaimana mengatasi kesenjangan penerapan nilai karakter kepramukaan dilingkungan pekerjaan supaya bisa diterima dan saling menghargai, terutama kita ASN yang hobi Pramuka.",nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Neutral - Discussion
4067,@ngatinemngatinem-d2o,Salam Pramuka sehat selalu,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
4072,@saripurnama8130,SALAM PRAMUKA ,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
4294,@alimustachim3471,isi evaluasi dan monev kok belum dibuka ya ,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Negative
